Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  112    0 0xffffff7f8145c000 0x8000     0x8000     com.apple.driver.usb.cdc (5.0.0) E64500EB-5CF3-32D7-A7C7-57E7EC4F85F6 <111 110 27 6 5 3 1>
  113    0 0xffffff7f82145000 0x6a000    0x6a000    com.apple.driver.AppleUSBAudio (320.49) E1C16EC1-D2A1-356C-B779-3D2264ACA200 <110 53 27 26 13 6 5 3 1>
  114    2 0xffffff7f80df4000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) D6C02E9D-EE06-332F-8D65-949311CB5645 <18 6 5 3 1>
  115    1 0xffffff7f80e45000 0xb2000    0xb2000    com.apple.plugin.IOgPTPPlugin (800.14) DCC13D3E-A5ED-38E8-9018-C3BA952FB040 <114 82 68 19 18 9 7 6 5 3 1>
  116    6 0xffffff7f82b64000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 0FA49449-221B-3D8F-976F-BDE030111BA7 <12 8 7 6 5 3>
  117    0 0xffffff7f8346b000 0x6000     0x6000     com.apple.driver.AppleIntelPCHPMC (2.0.1) F1DBED69-D355-31A8-8101-1246C4DE9BD5 <116 15 13 12 5 3>
  118    2 0xffffff7f826c5000 0xc000     0xc000     com.apple.iokit.IOHDAFamily (283.15) A6FBFD8D-6D3C-3901-88B3-2BFA5B2A0B91 <6 5 3 1>
  119   17 0xffffff7f81398000 0x51000    0x51000    com.apple.iokit.IOGraphicsFamily (569.3) 7B5CA52B-0BD1-34AB-BFC9-7D5C3A0DBE7C <13 8 6 5 3 1>
  120    1 0xffffff7f826d4000 0x1d000    0x1d000    com.apple.driver.AppleHDAController (283.15) F266EB6A-29C1-369A-9391-28536E347750 <119 118 53 13 8 7 6 5 3 1>
  121    1 0xffffff7f813f7000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 3C7B3D28-E89E-3AA3-AFE2-55291A2BDF85 <8 7 6 5 3 1>
  122    0 0xffffff7f8328a000 0x2000     0x2000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 6C8857B3-D2F7-3D81-AD46-9E3DA63311F0 <121 5 3>
  123    1 0xffffff7f82a9c000 0xe000     0xe000     com.apple.driver.AppleSMBusController (1.0.18d1) 6D0F0B74-2281-365C-9070-538848B48343 <47 13 12 6 5 3>
  124    0 0xffffff7f8339b000 0xf000     0xf000     com.apple.driver.AppleMCCSControl (1.13) 76626C8C-E2DF-3838-AD22-FD40AF79B8B9 <123 119 15 13 12 8 6 5 3 1>
  125    0 0xffffff7f81392000 0x3000     0x3000     com.apple.driver.eficheck (1) 28AD1C53-00D8-34D8-AC30-B7CC7158B262 <72 13 5 3 1>
  126    0 0xffffff7f82e90000 0x3000     0x3000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 9D067570-3690-36B8-BD15-856E92A1795E <13 6 5 3>
  127    4 0xffffff7f81706000 0x10000    0x10000    com.apple.iokit.IONDRVSupport (569.3) 7E47E886-8023-33FA-B62C-730522CBDDF5 <119 13 8 6 5 3>
  128    2 0xffffff7f81716000 0x6000     0x6000     com.apple.driver.AppleBacklightExpert (1.1.0) BFDA3E17-39D8-3F1F-A5E2-D5DAC84A7C7E <127 119 15 13 6 5 3>
  129    0 0xffffff7f83573000 0x5000     0x5000     com.apple.driver.AppleBacklight (180.1) 9B62FE43-EE70-3475-9C05-5F43C6D61F60 <128 127 119 13 6 5 3>
  130    6 0xffffff7f816dc000 0xa000     0xa000     com.apple.AppleGraphicsDeviceControl (4.5.21) EF326A60-9936-3267-A6E7-0044C7B4A952 <119 13 8 7 6 5 3 1>
  131    0 0xffffff7f8171c000 0x5000     0x5000     com.apple.driver.AGDCBacklightControl (4.5.21) 226B9DC0-A501-3DB4-831C-3F8D2D569D33 <130 128 119 12 8 6 5 3 1>
  132    1 0xffffff7f82b99000 0x19000    0x19000    com.apple.driver.X86PlatformPlugin (1.0.0) 134B18EB-0AF1-3844-B968-332792E91614 <116 90 27 15 12 8 7 6 5 3 1>
  133    0 0xffffff7f81723000 0xd000     0xd000     com.apple.AppleGPUWrangler (4.5.21) 101FF44F-9247-3934-BA68-3A6F71DD6CE1 <130 119 13 8 7 6 5 3 1>
  134    0 0xffffff7f8122e000 0xc000     0xc000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 8E2630B8-1616-3BDF-A3FA-E63EE8DF674D <68 27 25 6 5 3 1>
  135    0 0xffffff7f82c82000 0x3000     0x3000     com.apple.driver.AppleFIVRDriver (4.1.0) EAAE709F-3BA5-3F3F-82FB-93BC228AF1CD <5 3>
  136    2 0xffffff7f821e8000 0xc4000    0xc4000    com.apple.iokit.IOAcceleratorFamily2 (438.2.8) 9176E894-E24A-36BA-AFDA-0DB11F3F512A <119 94 21 17 13 8 7 6 5 3 1>
  137    0 0xffffff7f822c0000 0x205000   0x205000   com.apple.driver.AppleIntelSKLGraphicsFramebuffer (14.0.3) 2E5DC8F7-88F3-31EE-B2E9-0BBFCDC708FD <136 130 119 17 13 12 8 7 6 5 3 1>
  138    0 0xffffff7f83475000 0x5000     0x5000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) A76CDED7-D4C6-3404-89E6-59D3ED42985F <15 10 8 5 3 1>
  139    0 0xffffff7f8373c000 0x5000     0x5000     com.apple.driver.AppleSMCLMU (212) 3E0627D5-8868-3445-8761-1AF8D751E803 <119 15 6 5 3>
  140    0 0xffffff7f82fb9000 0xf3000    0xf3000    com.apple.driver.AppleIntelSKLGraphics (14.0.3) 72E6B358-5743-3374-8E58-9F7B4CD011B7 <136 119 94 13 8 7 6 5 3 1>
  141    0 0xffffff7f833b5000 0x16000    0x16000    com.apple.driver.pmtelemetry (1) D18F465E-489D-3F89-A42C-5A27F78B837E <8 7 6 5 3 1>
  142    1 0xffffff7f82b6e000 0x12000    0x12000    com.apple.driver.IOPlatformPluginLegacy (1.0.0) 1823F456-1588-3435-9DF6-68AEC663AC1F <116 12 8 7 6 5 3>
  143    0 0xffffff7f82b82000 0x10000    0x10000    com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) 9CA13857-B59D-3ADC-BEC1-E5D8E3135526 <142 116 15 13 12 8 7 6 5 3>
